,Mean,Std Dev,Min,Max,Median,Skewness,Kurtosis
Asset_A,4.580931593652208e-15,1.0,-1.4211881210235973,1.693240967885178,-0.21489516405188797,0.2086985378574036,-1.2849393338532151
Asset_B,-4.059883742322448e-15,0.9999999999999999,-1.5115208254121628,2.0311267327944207,-0.24836370424834253,0.44328937288209713,-0.9284760234712874
Asset_C,-7.935571391922995e-15,1.0,-1.4042011150449962,2.5758674313317496,-0.22014537665309342,0.9948617721042378,0.4140554060573889
Asset_D,-1.2627525288037718e-14,1.0,-1.5331125657913711,2.5406073665158666,-0.012684811528674702,0.7009252494036264,0.1901190713901797
